folio,ordenvehiculo,tipovehiculo,ordenconductor,marcavehiculo,anovehiculo,combustiblevehiculo,situacionvehiculo,vehiculotrabajo,factorexpansiona
11802,1,Camioneta o vehiculo todo terreno,1,Mazda,2013,Diesel,Propia (del hogar),Si,"13,272"
11812,1,Camioneta o vehiculo todo terreno,1,Mazda,1999,Gasolina,Propia (del hogar),No,"13,272"
11821,1,Camioneta o vehiculo todo terreno,2,Tiggo,2022,Gasolina,Propia (del hogar),No,"13,272"
11822,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),No,"13,272"
11831,1,Auto,2,Chevrolet,2010,Gasolina,Propia (del hogar),No,"13,272"
11832,1,Camioneta o vehiculo todo terreno,2,Haval,2019,Gasolina,Propia (del hogar),No,"13,272"
11841,1,Auto,1,Jac,2016,Gasolina,Propia (del hogar),No,"13,272"
11861,1,Auto,1,Hyundai,2006,Diesel,Propia (del hogar),Si,"13,272"
11862,1,Furgon utilitario,1,Changan,2018,Diesel,Propia (del hogar),Si,"13,272"
11881,1,Auto,2,Suzuki,2016,Gasolina,Propia (del hogar),No,"13,272"
11882,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),No,"13,272"
11892,1,Camioneta o vehiculo todo terreno,1,Kia,2004,Diesel,Propia (del hogar),No,"13,272"
11901,1,Auto,1,Chevrolet,2016,Gasolina,Propia (del hogar),No,"13,272"
11901,2,Camioneta o vehiculo todo terreno,2,Chevrolet,2014,Diesel,Propia (del hogar),No,"13,272"
11902,1,Auto,2,Ford,2013,Gasolina,Propia (del hogar),No,"13,272"
11921,1,Auto,1,Peugot,2003,Gasolina,Propia (del hogar),No,"19,511"
11922,1,Camion,1,Mitsubishi,2002,Diesel,Propia (del hogar),Si,"19,511"
11922,2,Camioneta o vehiculo todo terreno,1,Kia,2012,Diesel,Propia (del hogar),Si,"19,511"
11931,1,Auto,1,Cherry,2017,Gasolina,Propia (del hogar),No,"19,511"
11932,1,Auto,1,Suzuki,2010,Gasolina,Propia (del hogar),No,"19,511"
11941,1,Auto,2,Haval,2020,Gasolina,Propia (del hogar),No,"19,511"
11941,2,Auto,3,Ford,2021,Gasolina,Propia (del hogar),No,"19,511"
11941,3,Camioneta o vehiculo todo terreno,1,Ford,2021,Gasolina,Propia (del hogar),No,"19,511"
11952,1,Auto,1,Jac,2010,Gasolina,Propia (del hogar),Si,"19,511"
11971,1,Auto,2,Chevrolet,2021,Gasolina,Propia (del hogar),No,"19,511"
11972,1,Camioneta o vehiculo todo terreno,2,Chevrolet,2010,Diesel,Propia (del hogar),No,"19,511"
11981,1,Auto,1,Volkswagen,2013,Gasolina,Propia (del hogar),No,"19,511"
11992,1,Auto,1,Great wall,2013,Gasolina,Propia (del hogar),No,"19,511"
11992,2,Auto,2,Kia,2012,Diesel,Propia (del hogar),No,"19,511"
12001,1,Auto,3,Volkswagen,2001,Gasolina,Propia (del hogar),No,"19,511"
12001,2,Camioneta o vehiculo todo terreno,1,Mitsubishi,2022,Diesel,Propia (del hogar),Si,"19,511"
12002,1,Camioneta o vehiculo todo terreno,2,Nisan,2009,Gasolina,Propia (del hogar),No,"19,511"
12011,1,Auto,2,Haval,2017,Gasolina,Propia (del hogar),No,"19,511"
12012,1,Auto,1,Changan,2018,Gasolina,Propia (del hogar),No,"19,511"
12021,1,Auto,2,Chevrolet,2015,Gasolina,Propia (del hogar),No,"19,511"
12031,1,Camioneta o vehiculo todo terreno,1,Jac,2022,Diesel,Propia (del hogar),No,"19,511"
12032,1,Auto,1,Kia,2022,Gasolina,Propia (del hogar),No,"19,511"
12041,1,Auto,2,Mitsubishi,2011,Gasolina,Propia (del hogar),No,"13,272"
12042,1,Camioneta o vehiculo todo terreno,1,Chevrolet,1999,Gasolina,Propia (del hogar),No,"13,272"
12052,1,Auto,1,Honda,2004,Gasolina,Propia (del hogar),No,"13,272"
