Folio,ordenvehiculo,TipoVehiculo,OrdenConductor,MarcaVehiculo,ModeloVehiculo,AnoVehiculo,CombustibleVehiculo,SituacionVehiculo,VehiculoTrabajo,FactorExpansionA,codSituacionVehiculo,codTipoVehiculo,codVehiculoTrabajo
12161,1,1,2,CHERVROLET,SILVERADO,2019,1,1,2,"10,5",,,
12162,1,3,1,CHEVROLET,STAGION,2018,1,1,2,"10,5",,,
12172,1,3,1,NISSAN,0,2008,2,1,2,"10,5",,,
12192,1,1,3,JEEP,PAJERO,2008,2,1,1,"12,977",,,
12201,1,3,1,FORD,F150,2018,1,1,2,"12,977",,,
12201,2,3,2,MAZDA,CX5,2017,2,1,2,"12,977",,,
12201,3,8,2,HYUNDAI,PORTER H100,2020,2,1,2,"12,977",,,
12211,1,1,3,SUBARU,LEGACY,2005,1,1,2,"16,35",,,
12212,1,8,2,HYUNDAI,PORTER,1997,2,1,2,"16,35",,,
12221,1,7,3,CHEVROLET,OPTRA,2012,1,1,1,"16,35",,,
12222,1,3,1,GREAT WALL,WINGLE 5,2013,1,1,2,"16,35",,,
12261,1,1,1,SUSUKI,XPRESS,2021,1,1,1,"10,5",,,
12262,1,3,1,GREAT WALL,WINGLE 5,2019,1,1,2,"10,5",,,
12272,1,1,1,SSANGYOUNG,REXTON,2007,2,1,2,"10,476",,,
12281,1,1,1,HYUNDAI,ACCENT,2016,1,1,2,"10,476",,,
12282,1,1,2,CHANGAN,CX70,2022,1,1,2,"10,476",,,
12292,1,1,1,TOYOTA,YARIS,2013,1,1,2,"12,977",,,
12311,1,6,1,CHEVROLET,MAX,2015,1,1,1,"13,272",,,
12312,1,1,1,JAC,JS3,2022,1,1,2,"13,272",,,
12331,1,1,1,CHEVROLET,OPTRA,2014,1,1,1,"13,272",,,
12341,1,1,2,JAC,S 4,2016,1,1,2,"13,272",,,
12351,1,1,1,MAZDA,DEMIO,2015,1,1,2,"13,272",,,
12362,1,1,1,FORD,ECOSPORT,2017,1,1,2,"13,272",,,
12382,1,4,1,HYUNDAY,H1,2017,1,1,2,"13,272",,,
12382,2,1,2,MAZDA,CX5,2019,1,1,2,"13,272",,,
12392,1,1,1,HYUNDAI,TUCSON,2018,1,1,2,"13,272",,,
12421,1,1,3,DAHIATSU,CHARADE,1982,1,1,2,"13,272",,,
12422,1,1,1,JAC,T8,2022,2,1,2,"13,272",,,
12431,1,1,1,CHEVROLET,SPARK,2012,1,1,2,"13,272",,,
12431,2,3,2,HYUNDAI,SANTA FE,2014,2,1,2,"13,272",,,
12432,1,3,1,NISSAN,TERRANO,2006,2,1,2,"13,272",,,
12442,1,1,2,MAZDA,PREMACI,2006,1,1,2,"13,272",,,
12451,1,1,3,CHEVROLET,STAREX,1999,1,1,2,"19,511",,,
12472,1,1,2,HYUNDAY,TUCSON,2012,2,1,2,"19,511",,,
12481,1,1,1,MAZDA,DEMIO,2015,2,1,2,"19,511",,,
12491,1,1,1,TOYOTA,COROLLA,1995,1,1,2,"19,511",,,
12501,1,3,2,NISSAN,TERRANO,1994,2,1,2,"19,511",,,
12512,1,3,1,HYUNDAI,NEW TUCSON,2018,2,1,2,"19,511",,,
12521,1,1,1,MITSUBICHI,CHALLENGER,1997,2,1,2,"19,511",,,
12522,1,3,1,MAZDA,CXS,2019,1,1,2,"19,511",,,
